HISTOGRAM: ../bin/data/BrionFH_salida.xyz.csv
N_puntos: 42384876
N_nodos: 230189
N_nodos_hoja: 172635
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 245
__min: 0
__max: 512
Densidad_media: 6137.93
__min: 0
__max: 12800

ESTIMADO: 
N_medio_pts/nodo: 4.78799
Densidad_media: 119.7

x_i n_i x_i*n_i rho_i rho_i*n_i
314 329 103306 7850 2.58265e+06
315 355 111825 7875 2.79562e+06
316 333 105228 7900 2.6307e+06
317 351 111267 7925 2.78167e+06
318 339 107802 7950 2.69505e+06
319 323 103037 7975 2.57592e+06
320 292 93440 8000 2.336e+06
321 310 99510 8025 2.48775e+06
322 372 119784 8050 2.9946e+06
323 341 110143 8075 2.75357e+06
324 330 106920 8100 2.673e+06
325 337 109525 8125 2.73812e+06
326 332 108232 8150 2.7058e+06
327 341 111507 8175 2.78767e+06
328 316 103648 8200 2.5912e+06
329 303 99687 8225 2.49217e+06
330 346 114180 8250 2.8545e+06
331 295 97645 8275 2.44112e+06
332 319 105908 8300 2.6477e+06
333 306 101898 8325 2.54745e+06
334 325 108550 8350 2.71375e+06
335 326 109210 8375 2.73025e+06
336 287 96432 8400 2.4108e+06
337 290 97730 8425 2.44325e+06
338 279 94302 8450 2.35755e+06
339 299 101361 8475 2.53402e+06
340 295 100300 8500 2.5075e+06
341 331 112871 8525 2.82177e+06
342 304 103968 8550 2.5992e+06
343 302 103586 8575 2.58965e+06
344 309 106296 8600 2.6574e+06
345 302 104190 8625 2.60475e+06
346 275 95150 8650 2.37875e+06
347 305 105835 8675 2.64587e+06
348 296 103008 8700 2.5752e+06
349 293 102257 8725 2.55642e+06
350 302 105700 8750 2.6425e+06
351 279 97929 8775 2.44822e+06
352 304 107008 8800 2.6752e+06
353 317 111901 8825 2.79752e+06
354 285 100890 8850 2.52225e+06
355 306 108630 8875 2.71575e+06
356 303 107868 8900 2.6967e+06
