HISTOGRAM: ../bin/data/AlcoyH_salida.xyz.csv
N_puntos: 20380212
N_nodos: 153205
N_nodos_hoja: 114898
MinRadius: 1.4 m
Area_minima: 7.84 m^2

OBSERVADO: 
N_medio_pts/nodo: 177
__min: 0
__max: 3947
Densidad_media: 22.6246
__min: 0
__max: 503.444

ESTIMADO: 
N_medio_pts/nodo: 59.3776
Densidad_media: 7.57367

x_i n_i x_i*n_i rho_i rho_i*n_i
309 135 41715 39.4133 5320.79
310 146 45260 39.5408 5772.96
311 126 39186 39.6684 4998.21
312 136 42432 39.7959 5412.25
313 133 41629 39.9235 5309.82
314 132 41448 40.051 5286.73
315 134 42210 40.1786 5383.93
316 136 42976 40.3061 5481.63
317 110 34870 40.4337 4447.7
318 130 41340 40.5612 5272.96
319 139 44341 40.6888 5655.74
320 139 44480 40.8163 5673.47
321 119 38199 40.9439 4872.32
322 122 39284 41.0714 5010.71
323 105 33915 41.199 4325.89
324 114 36936 41.3265 4711.22
325 115 37375 41.4541 4767.22
326 125 40750 41.5816 5197.7
327 124 40548 41.7092 5171.94
328 102 33456 41.8367 4267.35
329 124 40796 41.9643 5203.57
330 95 31350 42.0918 3998.72
331 112 37072 42.2194 4728.57
332 96 31872 42.3469 4065.31
333 110 36630 42.4745 4672.19
334 80 26720 42.602 3408.16
335 89 29815 42.7296 3802.93
336 93 31248 42.8571 3985.71
337 104 35048 42.9847 4470.41
338 102 34476 43.1122 4397.45
339 117 39663 43.2398 5059.06
340 87 29580 43.3673 3772.96
341 96 32736 43.4949 4175.51
342 94 32148 43.6225 4100.51
343 91 31213 43.75 3981.25
344 76 26144 43.8776 3334.69
345 67 23115 44.0051 2948.34
346 76 26296 44.1327 3354.08
347 77 26719 44.2602 3408.04
348 93 32364 44.3878 4128.06
349 78 27222 44.5153 3472.19
350 82 28700 44.6429 3660.71
351 75 26325 44.7704 3357.78
352 74 26048 44.898 3322.45
353 70 24710 45.0255 3151.79
354 77 27258 45.1531 3476.79
355 72 25560 45.2806 3260.2
356 61 21716 45.4082 2769.9
357 80 28560 45.5357 3642.86
358 83 29714 45.6633 3790.05
359 71 25489 45.7908 3251.15
