HISTOGRAM: ../bin/data/BrionUH_salida.xyz.csv
N_puntos: 48024480
N_nodos: 781581
N_nodos_hoja: 586186
MinRadius: 0.2 m
Area_minima: 0.16 m^2

OBSERVADO: 
N_medio_pts/nodo: 81
__min: 0
__max: 776
Densidad_media: 512.044
__min: 0
__max: 4850

ESTIMADO: 
N_medio_pts/nodo: 19.5377
Densidad_media: 122.111

x_i n_i x_i*n_i rho_i rho_i*n_i
283 74 20942 1768.75 130887
284 75 21300 1775 133125
285 71 20235 1781.25 126469
286 67 19162 1787.5 119762
287 58 16646 1793.75 104037
288 55 15840 1800 99000
289 56 16184 1806.25 101150
290 63 18270 1812.5 114187
291 49 14259 1818.75 89118.7
292 42 12264 1825 76650
293 65 19045 1831.25 119031
294 64 18816 1837.5 117600
295 59 17405 1843.75 108781
296 47 13912 1850 86950
297 70 20790 1856.25 129937
298 54 16092 1862.5 100575
299 49 14651 1868.75 91568.7
300 39 11700 1875 73125
301 50 15050 1881.25 94062.5
302 39 11778 1887.5 73612.5
303 43 13029 1893.75 81431.2
304 43 13072 1900 81700
305 47 14335 1906.25 89593.7
306 39 11934 1912.5 74587.5
307 41 12587 1918.75 78668.7
308 39 12012 1925 75075
309 37 11433 1931.25 71456.2
310 40 12400 1937.5 77500
311 34 10574 1943.75 66087.5
312 30 9360 1950 58500
313 31 9703 1956.25 60643.7
314 33 10362 1962.5 64762.5
315 26 8190 1968.75 51187.5
316 43 13588 1975 84925
317 29 9193 1981.25 57456.2
318 29 9222 1987.5 57637.5
319 39 12441 1993.75 77756.2
320 21 6720 2000 42000
321 35 11235 2006.25 70218.7
322 27 8694 2012.5 54337.5
323 23 7429 2018.75 46431.2
324 34 11016 2025 68850
325 29 9425 2031.25 58906.2
326 30 9780 2037.5 61125
327 23 7521 2043.75 47006.2
328 27 8856 2050 55350
329 29 9541 2056.25 59631.2
330 23 7590 2062.5 47437.5
331 26 8606 2068.75 53787.5
332 18 5976 2075 37350
333 23 7659 2081.25 47868.7
334 24 8016 2087.5 50100
335 23 7705 2093.75 48156.2
336 20 6720 2100 42000
337 13 4381 2106.25 27381.2
338 20 6760 2112.5 42250
339 10 3390 2118.75 21187.5
340 18 6120 2125 38250
341 21 7161 2131.25 44756.2
342 20 6840 2137.5 42750
343 16 5488 2143.75 34300
344 21 7224 2150 45150
345 14 4830 2156.25 30187.5
346 23 7958 2162.5 49737.5
347 16 5552 2168.75 34700
348 14 4872 2175 30450
349 14 4886 2181.25 30537.5
350 14 4900 2187.5 30625
351 17 5967 2193.75 37293.7
352 9 3168 2200 19800
353 12 4236 2206.25 26475
354 15 5310 2212.5 33187.5
355 21 7455 2218.75 46593.7
356 21 7476 2225 46725
357 15 5355 2231.25 33468.7
358 14 5012 2237.5 31325
359 15 5385 2243.75 33656.2
360 16 5760 2250 36000
361 10 3610 2256.25 22562.5
362 13 4706 2262.5 29412.5
363 7 2541 2268.75 15881.2
364 14 5096 2275 31850
365 9 3285 2281.25 20531.2
366 18 6588 2287.5 41175
367 11 4037 2293.75 25231.2
368 11 4048 2300 25300
369 12 4428 2306.25 27675
370 11 4070 2312.5 25437.5
371 7 2597 2318.75 16231.2
372 6 2232 2325 13950
373 14 5222 2331.25 32637.5
374 5 1870 2337.5 11687.5
375 17 6375 2343.75 39843.7
376 6 2256 2350 14100
377 11 4147 2356.25 25918.7
378 10 3780 2362.5 23625
379 9 3411 2368.75 21318.7
380 3 1140 2375 7125
381 12 4572 2381.25 28575
382 8 3056 2387.5 19100
383 6 2298 2393.75 14362.5
384 5 1920 2400 12000
385 5 1925 2406.25 12031.2
386 5 1930 2412.5 12062.5
387 10 3870 2418.75 24187.5
388 7 2716 2425 16975
389 7 2723 2431.25 17018.7
390 9 3510 2437.5 21937.5
391 7 2737 2443.75 17106.2
392 7 2744 2450 17150
393 7 2751 2456.25 17193.7
394 2 788 2462.5 4925
395 3 1185 2468.75 7406.25
396 5 1980 2475 12375
397 7 2779 2481.25 17368.7
398 6 2388 2487.5 14925
399 4 1596 2493.75 9975
400 6 2400 2500 15000
401 7 2807 2506.25 17543.7
402 4 1608 2512.5 10050
403 5 2015 2518.75 12593.7
404 7 2828 2525 17675
405 4 1620 2531.25 10125
406 1 406 2537.5 2537.5
407 8 3256 2543.75 20350
408 8 3264 2550 20400
409 8 3272 2556.25 20450
410 3 1230 2562.5 7687.5
411 6 2466 2568.75 15412.5
412 2 824 2575 5150
413 6 2478 2581.25 15487.5
414 2 828 2587.5 5175
415 6 2490 2593.75 15562.5
416 7 2912 2600 18200
417 8 3336 2606.25 20850
418 3 1254 2612.5 7837.5
419 4 1676 2618.75 10475
420 5 2100 2625 13125
421 1 421 2631.25 2631.25
422 8 3376 2637.5 21100
423 1 423 2643.75 2643.75
424 6 2544 2650 15900
425 4 1700 2656.25 10625
426 5 2130 2662.5 13312.5
427 3 1281 2668.75 8006.25
428 1 428 2675 2675
429 4 1716 2681.25 10725
430 4 1720 2687.5 10750
431 2 862 2693.75 5387.5
432 3 1296 2700 8100
433 3 1299 2706.25 8118.75
434 5 2170 2712.5 13562.5
435 6 2610 2718.75 16312.5
436 1 436 2725 2725
437 4 1748 2731.25 10925
438 2 876 2737.5 5475
439 7 3073 2743.75 19206.2
440 3 1320 2750 8250
443 1 443 2768.75 2768.75
444 1 444 2775 2775
446 1 446 2787.5 2787.5
447 4 1788 2793.75 11175
448 2 896 2800 5600
449 1 449 2806.25 2806.25
450 3 1350 2812.5 8437.5
451 2 902 2818.75 5637.5
452 3 1356 2825 8475
455 2 910 2843.75 5687.5
456 1 456 2850 2850
457 1 457 2856.25 2856.25
459 1 459 2868.75 2868.75
460 1 460 2875 2875
461 2 922 2881.25 5762.5
462 2 924 2887.5 5775
463 3 1389 2893.75 8681.25
464 3 1392 2900 8700
466 1 466 2912.5 2912.5
468 1 468 2925 2925
469 2 938 2931.25 5862.5
470 3 1410 2937.5 8812.5
471 2 942 2943.75 5887.5
473 1 473 2956.25 2956.25
474 1 474 2962.5 2962.5
475 1 475 2968.75 2968.75
476 1 476 2975 2975
478 1 478 2987.5 2987.5
479 2 958 2993.75 5987.5
480 3 1440 3000 9000
481 1 481 3006.25 3006.25
485 1 485 3031.25 3031.25
486 1 486 3037.5 3037.5
487 1 487 3043.75 3043.75
489 2 978 3056.25 6112.5
492 1 492 3075 3075
493 1 493 3081.25 3081.25
494 2 988 3087.5 6175
497 1 497 3106.25 3106.25
501 1 501 3131.25 3131.25
503 1 503 3143.75 3143.75
504 2 1008 3150 6300
506 1 506 3162.5 3162.5
507 3 1521 3168.75 9506.25
509 1 509 3181.25 3181.25
510 1 510 3187.5 3187.5
512 1 512 3200 3200
514 1 514 3212.5 3212.5
516 1 516 3225 3225
517 1 517 3231.25 3231.25
519 2 1038 3243.75 6487.5
526 1 526 3287.5 3287.5
530 2 1060 3312.5 6625
531 1 531 3318.75 3318.75
536 2 1072 3350 6700
539 1 539 3368.75 3368.75
550 1 550 3437.5 3437.5
554 1 554 3462.5 3462.5
555 1 555 3468.75 3468.75
560 1 560 3500 3500
569 1 569 3556.25 3556.25
576 1 576 3600 3600
579 1 579 3618.75 3618.75
583 1 583 3643.75 3643.75
594 1 594 3712.5 3712.5
596 1 596 3725 3725
609 1 609 3806.25 3806.25
610 1 610 3812.5 3812.5
613 1 613 3831.25 3831.25
627 2 1254 3918.75 7837.5
633 1 633 3956.25 3956.25
649 1 649 4056.25 4056.25
662 1 662 4137.5 4137.5
664 1 664 4150 4150
670 1 670 4187.5 4187.5
694 1 694 4337.5 4337.5
721 1 721 4506.25 4506.25
728 1 728 4550 4550
776 1 776 4850 4850


HISTOGRAM_DE_NIVELES:
Nodos_hoja_analizados: 586186

x_i n_i

6 1664
7 295
8 823
9 2380
10 581024


