HISTOGRAM: ../bin/data/ArzuaH_salida.xyz.csv
N_puntos: 40706503
N_nodos: 349525
N_nodos_hoja: 262144
MinRadius: 0.6 m
Area_minima: 1.44 m^2

OBSERVADO: 
N_medio_pts/nodo: 155
__min: 0
__max: 6606
Densidad_media: 107.835
__min: 0
__max: 4587.5

ESTIMADO: 
N_medio_pts/nodo: 58.6185
Densidad_media: 40.7073

x_i n_i x_i*n_i rho_i rho_i*n_i
261 161 42021 181.25 29181.2
262 139 36418 181.944 25290.3
263 149 39187 182.639 27213.2
264 168 44352 183.333 30800
265 153 40545 184.028 28156.2
266 152 40432 184.722 28077.8
267 150 40050 185.417 27812.5
268 155 41540 186.111 28847.2
269 167 44923 186.806 31196.5
270 157 42390 187.5 29437.5
271 151 40921 188.194 28417.4
272 140 38080 188.889 26444.4
273 146 39858 189.583 27679.2
274 146 40004 190.278 27780.6
275 152 41800 190.972 29027.8
276 152 41952 191.667 29133.3
277 131 36287 192.361 25199.3
278 144 40032 193.056 27800
279 143 39897 193.75 27706.2
280 132 36960 194.444 25666.7
281 145 40745 195.139 28295.1
282 129 36378 195.833 25262.5
283 153 43299 196.528 30068.7
284 134 38056 197.222 26427.8
285 140 39900 197.917 27708.3
286 151 43186 198.611 29990.3
287 146 41902 199.306 29098.6
288 112 32256 200 22400
289 123 35547 200.694 24685.4
290 142 41180 201.389 28597.2
291 132 38412 202.083 26675
292 133 38836 202.778 26969.4
293 151 44243 203.472 30724.3
294 147 43218 204.167 30012.5
295 131 38645 204.861 26836.8
296 137 40552 205.556 28161.1
297 154 45738 206.25 31762.5
298 134 39932 206.944 27730.6
299 141 42159 207.639 29277.1
300 131 39300 208.333 27291.7
301 132 39732 209.028 27591.7
302 106 32012 209.722 22230.6
303 141 42723 210.417 29668.7
304 145 44080 211.111 30611.1
305 157 47885 211.806 33253.5
306 133 40698 212.5 28262.5
307 131 40217 213.194 27928.5
308 107 32956 213.889 22886.1
309 107 33063 214.583 22960.4
310 125 38750 215.278 26909.7
311 120 37320 215.972 25916.7
312 127 39624 216.667 27516.7
313 119 37247 217.361 25866
314 112 35168 218.056 24422.2
315 121 38115 218.75 26468.7
316 134 42344 219.444 29405.6
317 97 30749 220.139 21353.5
318 125 39750 220.833 27604.2
319 109 34771 221.528 24146.5
320 138 44160 222.222 30666.7
321 105 33705 222.917 23406.2
322 118 37996 223.611 26386.1
323 102 32946 224.306 22879.2
324 127 41148 225 28575
325 125 40625 225.694 28211.8
326 122 39772 226.389 27619.4
327 110 35970 227.083 24979.2
328 110 36080 227.778 25055.6
329 112 36848 228.472 25588.9
330 105 34650 229.167 24062.5
331 117 38727 229.861 26893.7
332 109 36188 230.556 25130.6
333 115 38295 231.25 26593.7
334 92 30728 231.944 21338.9
335 96 32160 232.639 22333.3
336 89 29904 233.333 20766.7
337 94 31678 234.028 21998.6
338 96 32448 234.722 22533.3
339 99 33561 235.417 23306.2
340 96 32640 236.111 22666.7
341 97 33077 236.806 22970.1
342 80 27360 237.5 19000
343 98 33614 238.194 23343.1
344 86 29584 238.889 20544.4
345 83 28635 239.583 19885.4
346 86 29756 240.278 20663.9
347 90 31230 240.972 21687.5
348 81 28188 241.667 19575
349 91 31759 242.361 22054.9
350 97 33950 243.056 23576.4
351 100 35100 243.75 24375
352 93 32736 244.444 22733.3
353 84 29652 245.139 20591.7
354 88 31152 245.833 21633.3
355 105 37275 246.528 25885.4
356 89 31684 247.222 22002.8
357 85 30345 247.917 21072.9
358 93 33294 248.611 23120.8
359 88 31592 249.306 21938.9
360 90 32400 250 22500
361 97 35017 250.694 24317.4
362 83 30046 251.389 20865.3
363 76 27588 252.083 19158.3
364 75 27300 252.778 18958.3
365 90 32850 253.472 22812.5
366 78 28548 254.167 19825
367 89 32663 254.861 22682.6
368 88 32384 255.556 22488.9
369 88 32472 256.25 22550
370 90 33300 256.944 23125
371 83 30793 257.639 21384
372 80 29760 258.333 20666.7
373 75 27975 259.028 19427.1
374 73 27302 259.722 18959.7
375 102 38250 260.417 26562.5
376 100 37600 261.111 26111.1
377 64 24128 261.806 16755.6
378 97 36666 262.5 25462.5
379 70 26530 263.194 18423.6
380 94 35720 263.889 24805.6
381 81 30861 264.583 21431.2
382 91 34762 265.278 24140.3
383 76 29108 265.972 20213.9
384 91 34944 266.667 24266.7
385 73 28105 267.361 19517.4
386 88 33968 268.056 23588.9
387 76 29412 268.75 20425
388 67 25996 269.444 18052.8
389 68 26452 270.139 18369.4
390 69 26910 270.833 18687.5
391 77 30107 271.528 20907.6
392 92 36064 272.222 25044.4
393 69 27117 272.917 18831.2
394 73 28762 273.611 19973.6
395 74 29230 274.306 20298.6
396 72 28512 275 19800
397 73 28981 275.694 20125.7
398 66 26268 276.389 18241.7
399 74 29526 277.083 20504.2
400 71 28400 277.778 19722.2
401 75 30075 278.472 20885.4
402 82 32964 279.167 22891.7
403 66 26598 279.861 18470.8
404 65 26260 280.556 18236.1
405 71 28755 281.25 19968.7
406 57 23142 281.944 16070.8
407 68 27676 282.639 19219.4
408 63 25704 283.333 17850
409 45 18405 284.028 12781.2
410 66 27060 284.722 18791.7
411 49 20139 285.417 13985.4
412 51 21012 286.111 14591.7
413 69 28497 286.806 19789.6
414 60 24840 287.5 17250
415 60 24900 288.194 17291.7
416 58 24128 288.889 16755.6
417 50 20850 289.583 14479.2
418 64 26752 290.278 18577.8
419 53 22207 290.972 15421.5
420 75 31500 291.667 21875
421 54 22734 292.361 15787.5
422 66 27852 293.056 19341.7
423 59 24957 293.75 17331.2
424 64 27136 294.444 18844.4
425 67 28475 295.139 19774.3
426 55 23430 295.833 16270.8
427 52 22204 296.528 15419.4
428 49 20972 297.222 14563.9
429 57 24453 297.917 16981.2
430 65 27950 298.611 19409.7
431 63 27153 299.306 18856.2
432 50 21600 300 15000
433 46 19918 300.694 13831.9
434 50 21700 301.389 15069.4
435 42 18270 302.083 12687.5
436 50 21800 302.778 15138.9
437 41 17917 303.472 12442.4
438 52 22776 304.167 15816.7
439 52 22828 304.861 15852.8
440 46 20240 305.556 14055.6
441 48 21168 306.25 14700
442 65 28730 306.944 19951.4
443 67 29681 307.639 20611.8
444 55 24420 308.333 16958.3
445 51 22695 309.028 15760.4
446 54 24084 309.722 16725
447 60 26820 310.417 18625
