HISTOGRAM: ../bin/data/BrionFH_salida.xyz.csv
N_puntos: 42384876
N_nodos: 803725
N_nodos_hoja: 602794
MinRadius: 0.2 m
Area_minima: 0.16 m^2

OBSERVADO: 
N_medio_pts/nodo: 70
__min: 0
__max: 686
Densidad_media: 439.463
__min: 0
__max: 4287.5

ESTIMADO: 
N_medio_pts/nodo: 19.152
Densidad_media: 119.7

x_i n_i x_i*n_i rho_i rho_i*n_i
313 5 1565 1956.25 9781.25
314 11 3454 1962.5 21587.5
315 9 2835 1968.75 17718.7
316 11 3476 1975 21725
317 8 2536 1981.25 15850
318 13 4134 1987.5 25837.5
319 6 1914 1993.75 11962.5
320 2 640 2000 4000
321 5 1605 2006.25 10031.2
322 4 1288 2012.5 8050
323 8 2584 2018.75 16150
324 4 1296 2025 8100
325 5 1625 2031.25 10156.2
326 4 1304 2037.5 8150
327 7 2289 2043.75 14306.2
328 6 1968 2050 12300
329 4 1316 2056.25 8225
330 6 1980 2062.5 12375
331 3 993 2068.75 6206.25
332 5 1660 2075 10375
333 7 2331 2081.25 14568.7
334 5 1670 2087.5 10437.5
335 3 1005 2093.75 6281.25
336 2 672 2100 4200
337 6 2022 2106.25 12637.5
338 4 1352 2112.5 8450
339 4 1356 2118.75 8475
340 2 680 2125 4250
341 2 682 2131.25 4262.5
342 3 1026 2137.5 6412.5
343 5 1715 2143.75 10718.7
344 5 1720 2150 10750
345 6 2070 2156.25 12937.5
346 4 1384 2162.5 8650
347 8 2776 2168.75 17350
348 4 1392 2175 8700
349 8 2792 2181.25 17450
350 5 1750 2187.5 10937.5
351 5 1755 2193.75 10968.7
352 2 704 2200 4400
353 5 1765 2206.25 11031.2
354 2 708 2212.5 4425
355 7 2485 2218.75 15531.2
356 3 1068 2225 6675
357 3 1071 2231.25 6693.75
358 3 1074 2237.5 6712.5
359 3 1077 2243.75 6731.25
360 2 720 2250 4500
361 1 361 2256.25 2256.25
362 2 724 2262.5 4525
363 3 1089 2268.75 6806.25
364 1 364 2275 2275
366 1 366 2287.5 2287.5
367 2 734 2293.75 4587.5
368 2 736 2300 4600
369 1 369 2306.25 2306.25
370 2 740 2312.5 4625
371 2 742 2318.75 4637.5
372 3 1116 2325 6975
374 2 748 2337.5 4675
375 2 750 2343.75 4687.5
376 1 376 2350 2350
377 3 1131 2356.25 7068.75
378 1 378 2362.5 2362.5
379 2 758 2368.75 4737.5
380 1 380 2375 2375
381 2 762 2381.25 4762.5
382 5 1910 2387.5 11937.5
383 3 1149 2393.75 7181.25
384 1 384 2400 2400
385 1 385 2406.25 2406.25
387 2 774 2418.75 4837.5
388 2 776 2425 4850
389 1 389 2431.25 2431.25
390 1 390 2437.5 2437.5
391 1 391 2443.75 2443.75
392 1 392 2450 2450
394 2 788 2462.5 4925
396 2 792 2475 4950
397 3 1191 2481.25 7443.75
398 3 1194 2487.5 7462.5
399 1 399 2493.75 2493.75
400 2 800 2500 5000
402 1 402 2512.5 2512.5
403 1 403 2518.75 2518.75
404 1 404 2525 2525
406 2 812 2537.5 5075
407 1 407 2543.75 2543.75
408 1 408 2550 2550
410 1 410 2562.5 2562.5
413 1 413 2581.25 2581.25
414 1 414 2587.5 2587.5
415 1 415 2593.75 2593.75
420 1 420 2625 2625
421 1 421 2631.25 2631.25
426 2 852 2662.5 5325
427 1 427 2668.75 2668.75
428 1 428 2675 2675
430 1 430 2687.5 2687.5
431 1 431 2693.75 2693.75
432 1 432 2700 2700
434 1 434 2712.5 2712.5
435 1 435 2718.75 2718.75
438 1 438 2737.5 2737.5
445 1 445 2781.25 2781.25
446 1 446 2787.5 2787.5
449 1 449 2806.25 2806.25
451 1 451 2818.75 2818.75
454 1 454 2837.5 2837.5
456 1 456 2850 2850
457 1 457 2856.25 2856.25
459 1 459 2868.75 2868.75
460 1 460 2875 2875
470 1 470 2937.5 2937.5
473 1 473 2956.25 2956.25
475 1 475 2968.75 2968.75
478 1 478 2987.5 2987.5
479 1 479 2993.75 2993.75
487 1 487 3043.75 3043.75
493 1 493 3081.25 3081.25
497 1 497 3106.25 3106.25
502 1 502 3137.5 3137.5
508 1 508 3175 3175
519 1 519 3243.75 3243.75
524 1 524 3275 3275
531 1 531 3318.75 3318.75
538 1 538 3362.5 3362.5
539 1 539 3368.75 3368.75
540 1 540 3375 3375
542 1 542 3387.5 3387.5
543 1 543 3393.75 3393.75
548 1 548 3425 3425
550 1 550 3437.5 3437.5
576 1 576 3600 3600
578 1 578 3612.5 3612.5
583 1 583 3643.75 3643.75
593 1 593 3706.25 3706.25
623 1 623 3893.75 3893.75
668 1 668 4175 4175
686 1 686 4287.5 4287.5


HISTOGRAM_DE_NIVELES:
Nodos_hoja_analizados: 602794

x_i n_i

6 1593
7 318
8 812
9 2451
10 597620


