HISTOGRAM: ../bin/data/BrionUH_salida.xyz.csv
N_puntos: 48024480
N_nodos: 200557
N_nodos_hoja: 150411
MinRadius: 0.6 m
Area_minima: 1.44 m^2

OBSERVADO: 
N_medio_pts/nodo: 319
__min: 0
__max: 1942
Densidad_media: 221.728
__min: 0
__max: 1348.61

ESTIMADO: 
N_medio_pts/nodo: 175.84
Densidad_media: 122.111

x_i n_i x_i*n_i rho_i rho_i*n_i
249 374 93126 172.917 64670.8
250 346 86500 173.611 60069.4
251 354 88854 174.306 61704.2
252 339 85428 175 59325
253 361 91333 175.694 63425.7
254 376 95504 176.389 66322.2
255 329 83895 177.083 58260.4
256 365 93440 177.778 64888.9
257 346 88922 178.472 61751.4
258 332 85656 179.167 59483.3
259 366 94794 179.861 65829.2
260 309 80340 180.556 55791.7
261 311 81171 181.25 56368.7
262 343 89866 181.944 62406.9
263 344 90472 182.639 62827.8
264 329 86856 183.333 60316.7
265 346 91690 184.028 63673.6
266 343 91238 184.722 63359.7
267 299 79833 185.417 55439.6
268 324 86832 186.111 60300
269 309 83121 186.806 57722.9
270 344 92880 187.5 64500
271 322 87262 188.194 60598.6
272 319 86768 188.889 60255.6
273 308 84084 189.583 58391.7
274 321 87954 190.278 61079.2
275 300 82500 190.972 57291.7
276 307 84732 191.667 58841.7
277 274 75898 192.361 52706.9
278 346 96188 193.056 66797.2
279 308 85932 193.75 59675
280 301 84280 194.444 58527.8
281 288 80928 195.139 56200
282 338 95316 195.833 66191.7
283 293 82919 196.528 57582.6
284 331 94004 197.222 65280.6
285 299 85215 197.917 59177.1
286 301 86086 198.611 59781.9
287 300 86100 199.306 59791.7
288 282 81216 200 56400
289 329 95081 200.694 66028.5
290 293 84970 201.389 59006.9
291 305 88755 202.083 61635.4
292 266 77672 202.778 53938.9
293 306 89658 203.472 62262.5
294 300 88200 204.167 61250
295 287 84665 204.861 58795.1
296 287 84952 205.556 58994.4
297 309 91773 206.25 63731.2
298 283 84334 206.944 58565.3
299 276 82524 207.639 57308.3
300 294 88200 208.333 61250
301 281 84581 209.028 58736.8
302 276 83352 209.722 57883.3
303 277 83931 210.417 58285.4
304 244 74176 211.111 51511.1
305 287 87535 211.806 60788.2
306 266 81396 212.5 56525
307 241 73987 213.194 51379.9
308 263 81004 213.889 56252.8
309 280 86520 214.583 60083.3
310 280 86800 215.278 60277.8
311 277 86147 215.972 59824.3
312 270 84240 216.667 58500
313 260 81380 217.361 56513.9
314 269 84466 218.056 58656.9
315 281 88515 218.75 61468.7
316 273 86268 219.444 59908.3
317 279 88443 220.139 61418.7
318 261 82998 220.833 57637.5
319 256 81664 221.528 56711.1
320 247 79040 222.222 54888.9
321 270 86670 222.917 60187.5
322 265 85330 223.611 59256.9
323 268 86564 224.306 60113.9
324 258 83592 225 58050
325 260 84500 225.694 58680.6
326 275 89650 226.389 62256.9
327 274 89598 227.083 62220.8
328 281 92168 227.778 64005.6
329 234 76986 228.472 53462.5
330 279 92070 229.167 63937.5
331 254 84074 229.861 58384.7
332 288 95616 230.556 66400
333 265 88245 231.25 61281.2
334 231 77154 231.944 53579.2
335 275 92125 232.639 63975.7
336 241 80976 233.333 56233.3
337 249 83913 234.028 58272.9
338 275 92950 234.722 64548.6
339 240 81360 235.417 56500
340 221 75140 236.111 52180.6
341 248 84568 236.806 58727.8
342 226 77292 237.5 53675
343 283 97069 238.194 67409
344 241 82904 238.889 57572.2
345 258 89010 239.583 61812.5
346 234 80964 240.278 56225
347 259 89873 240.972 62411.8
348 238 82824 241.667 57516.7
349 237 82713 242.361 57439.6
350 249 87150 243.056 60520.8
351 242 84942 243.75 58987.5
352 234 82368 244.444 57200
353 239 84367 245.139 58588.2
354 232 82128 245.833 57033.3
355 234 83070 246.528 57687.5
356 254 90424 247.222 62794.4
357 228 81396 247.917 56525
358 248 88784 248.611 61655.6
359 242 86878 249.306 60331.9
360 237 85320 250 59250
361 238 85918 250.694 59665.3
362 230 83260 251.389 57819.4
363 255 92565 252.083 64281.2
364 247 89908 252.778 62436.1
365 236 86140 253.472 59819.4
366 214 78324 254.167 54391.7
367 212 77804 254.861 54030.6
368 239 87952 255.556 61077.8
369 212 78228 256.25 54325
370 224 82880 256.944 57555.6
371 208 77168 257.639 53588.9
372 246 91512 258.333 63550
373 232 86536 259.028 60094.4
374 246 92004 259.722 63891.7
375 207 77625 260.417 53906.2
376 243 91368 261.111 63450
377 226 85202 261.806 59168.1
378 201 75978 262.5 52762.5
379 213 80727 263.194 56060.4
380 238 90440 263.889 62805.6
381 234 89154 264.583 61912.5
382 211 80602 265.278 55973.6
383 194 74302 265.972 51598.6
384 224 86016 266.667 59733.3
385 254 97790 267.361 67909.7
386 207 79902 268.056 55487.5
387 237 91719 268.75 63693.7
388 197 76436 269.444 53080.6
389 202 78578 270.139 54568.1
390 187 72930 270.833 50645.8
391 208 81328 271.528 56477.8
392 213 83496 272.222 57983.3
393 213 83709 272.917 58131.2
394 199 78406 273.611 54448.6
395 176 69520 274.306 48277.8
396 197 78012 275 54175
397 202 80194 275.694 55690.3
398 202 80396 276.389 55830.6
399 186 74214 277.083 51537.5
400 190 76000 277.778 52777.8
401 188 75388 278.472 52352.8
402 245 98490 279.167 68395.8
403 198 79794 279.861 55412.5
404 234 94536 280.556 65650
405 210 85050 281.25 59062.5
406 168 68208 281.944 47366.7
407 195 79365 282.639 55114.6
408 216 88128 283.333 61200
409 218 89162 284.028 61918.1
410 186 76260 284.722 52958.3
411 235 96585 285.417 67072.9
